"Host/IP","Port","Login","Password","Type","Level","Country","Tag(s)","Speed","Alive","Can Resolve Domain to IP"
"3.15.192.0","8159","","","CONNECT","Elite","UNITED STATES","Public","0,108","34m",-
"3.15.192.0","9269","","","CONNECT","Elite","UNITED STATES","Public","0,117","22m",-
"3.38.101.138","8741","","","CONNECT","Elite","KOREA","Public SSL","0,270","14m",-
"3.38.101.138","102","","","CONNECT","Elite","KOREA","Public SSL","0,264","23m",X
"3.107.252.199","10065","","","CONNECT","Elite","AUSTRALIA","Public","0,300","35m",-
"4.156.78.45","80","","","WEB","Transparent","UNITED STATES","Public","0,093","34m",X
"4.195.16.140","80","","","WEB","Elite","AUSTRALIA","Public supremenewyork","0,255","34m",X
"4.245.123.244","80","","","WEB","Elite","NETHERLANDS","Public supremenewyork","0,045","33m",X
"5.58.47.25","3629","","","SOCKS4","Elite","UKRAINE","Public","4,152","43m",-
"5.157.64.213","1080","","","SOCKS4","Elite","UNITED KINGDOM","Public","0,069","17m",-
"5.252.33.13","2025","","","CONNECT","Elite","SLOVAKIA","Public SSL","0,039","24m",X
"8.17.0.15","8080","","","WEB","Transparent","UNITED STATES","Public","0,134","32m",X
"8.130.34.237","80","","","CONNECT","Elite","CHINA","Public","0,304","34m",X
"8.130.71.75","80","","","CONNECT","Elite","CHINA","Public","0,322","31m",X
"8.130.90.177","80","","","CONNECT","Elite","CHINA","Public","0,301","44m",X
"8.137.38.48","80","","","CONNECT","Elite","CHINA","Public","0,287","39m",X
"8.146.207.243","8888","","","WEB","Transparent","CHINA","Public","0,321","24m",X
"8.148.20.126","80","","","CONNECT","Elite","CHINA","Public","0,326","17m",X
"8.148.24.225","80","","","CONNECT","Elite","CHINA","Public","0,332","31m",X
"8.209.96.245","80","","","CONNECT","Elite","GERMANY","Public","0,040","34m",X
"8.209.255.13","3128","","","CONNECT","Elite","JAPAN","Public","0,233","24m",X
"8.210.17.35","80","","","CONNECT","Elite","HONG KONG","Public","0,190","41m",X
"8.211.42.167","80","","","CONNECT","Elite","GERMANY","Public","0,048","34m",X
"8.211.51.115","80","","","CONNECT","Elite","GERMANY","Public","0,047","34m",X
"8.211.195.139","80","","","CONNECT","Elite","UNITED KINGDOM","Public","0,040","16m",-
"8.212.151.166","80","","","CONNECT","Elite","PHILIPPINES","Public","0,256","37m",X
"8.212.165.33","3333","","","WEB","Transparent","PHILIPPINES","Public","2,321","24m",X
"8.213.129.20","80","","","CONNECT","Elite","KOREA","Public","0,273","20m",X
"8.213.137.155","80","","","SOCKS4","Elite","KOREA","Public","0,929","16m",-
"8.213.151.128","3128","","","CONNECT","Elite","KOREA","Public","0,259","42m",-
"8.213.156.191","80","","","CONNECT","Elite","KOREA","Public","0,288","44m",-
"8.213.195.191","80","","","CONNECT","Elite","THAILAND","Public","0,289","42m",X
"8.213.215.187","80","","","CONNECT","Elite","THAILAND","Public","0,299","37m",X
"8.213.222.247","80","","","CONNECT","Elite","THAILAND","Public","0,281","33m",X
"8.213.222.157","80","","","CONNECT","Elite","THAILAND","Public","0,282","42m",X
"8.215.12.103","80","","","CONNECT","Elite","INDONESIA","Public","0,201","33m",X
"8.217.78.32","1011","","","SOCKS5","Elite","HONG KONG","Public SSL","0,206","16m",-
"8.219.172.7","1011","","","SOCKS5","Elite","SINGAPORE","Public Facebook supremenewyork","0,163","34m",X
"8.219.229.53","80","","","CONNECT","Elite","SINGAPORE","Public","0,164","35m",X
"8.220.141.8","80","","","CONNECT","Elite","PHILIPPINES","Public","0,262","23m",X
"8.220.204.92","80","","","CONNECT","Elite","KOREA","Public","0,258","43m",X
"8.220.204.215","80","","","CONNECT","Elite","KOREA","Public","0,265","33m",X
"8.220.205.172","80","","","CONNECT","Elite","KOREA","Public","0,280","41m",X
"8.221.138.111","80","","","CONNECT","Elite","JAPAN","Public","0,230","20m",X
"8.221.139.222","80","","","CONNECT","Elite","JAPAN","Public","0,231","34m",X
"8.221.141.88","80","","","CONNECT","Elite","JAPAN","Public","0,853","35m",X
"8.222.247.161","1011","","","SOCKS5","Elite","SINGAPORE","Public","1,179","13m",X
"12.11.59.114","1080","","","SOCKS4","Elite","UNITED STATES","Public","3,171","20m",-
"13.59.97.103","9094","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,109","34m",-
"13.59.97.103","9507","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,113","39m",-
"13.59.113.45","8686","","","CONNECT","Elite","UNITED STATES","Public","0,106","31m",-
"13.59.113.45","392","","","CONNECT","Elite","UNITED STATES","Public supremenewyork","0,109","38m",-
"13.60.209.160","8008","","","CONNECT","Elite","SWEDEN","Public","0,063","24m",X
"13.61.18.44","45157","","","CONNECT","Elite","SWEDEN","Public supremenewyork","0,061","39m",X
"13.114.9.221","9800","","","CONNECT","Elite","JAPAN","Public supremenewyork","0,258","38m",X
"13.114.9.221","37014","","","CONNECT","Elite","JAPAN","Public","0,253","32m",-
"13.115.193.75","278","","","CONNECT","Elite","JAPAN","Public SSL","0,256","14m",X
"13.115.193.75","200","","","CONNECT","Elite","JAPAN","Public","0,248","39m",-
"13.115.193.75","9447","","","CONNECT","Elite","JAPAN","Public","0,245","35m",-
"13.115.193.75","10062","","","CONNECT","Elite","JAPAN","Public","0,245","33m",-
"13.125.7.17","10043","","","CONNECT","Elite","KOREA","Public","0,271","33m",-
"13.211.233.22","8562","","","CONNECT","Elite","AUSTRALIA","Public","0,307","38m",-
"13.211.233.22","8072","","","CONNECT","Elite","AUSTRALIA","Public","0,299","33m",-
"13.212.76.113","336","","","CONNECT","Elite","SINGAPORE","Public Google SSL","0,246","18m",-
"13.212.81.49","163","","","CONNECT","Elite","SINGAPORE","Public","0,244","32m",-
"13.212.76.113","9060","","","CONNECT","Elite","SINGAPORE","Public","0,247","33m",-
"13.212.81.49","9036","","","CONNECT","Elite","SINGAPORE","Public","0,244","37m",-
"13.231.159.110","451","","","CONNECT","Elite","JAPAN","Public","0,255","40m",-
"13.231.159.110","72","","","CONNECT","Elite","JAPAN","Public SSL","0,247","24m",-
"13.247.64.55","36660","","","CONNECT","Elite","SOUTH AFRICA","Public supremenewyork","0,136","36m",-
"14.224.174.168","3616","","","CONNECT","Elite","VIETNAM","Public Facebook supremenewyork","0,287","35m",-
"14.224.174.168","3312","","","CONNECT","Elite","VIETNAM","Public Google SSL","0,296","18m",-
"14.224.174.168","4315","","","CONNECT","Elite","VIETNAM","Public Facebook supremenewyork","0,299","36m",-
"14.251.13.0","8080","","","CONNECT","Elite","VIETNAM","Public SSL","0,290","15m",X
"15.160.181.77","9269","","","CONNECT","Elite","ITALY","Public supremenewyork","0,033","32m",-
"15.160.181.77","8445","","","CONNECT","Elite","ITALY","Public","0,034","40m",-
"15.160.186.74","9007","","","CONNECT","Elite","ITALY","Public","0,035","39m",-
"15.160.186.74","26552","","","CONNECT","Elite","ITALY","Public","0,033","24m",-
"15.168.235.57","10490","","","CONNECT","Elite","JAPAN","Public","0,267","12m",-
"16.78.41.33","10880","","","CONNECT","Elite","INDONESIA","Public","0,265","38m",-
"16.78.47.161","9142","","","CONNECT","Elite","INDONESIA","Public supremenewyork","0,263","37m",X
"16.78.47.161","2076","","","CONNECT","Elite","INDONESIA","Public SSL","0,260","21m",-
"16.78.41.33","433","","","CONNECT","Elite","INDONESIA","Public SSL","0,271","14m",-
"16.78.41.33","43","","","CONNECT","Elite","INDONESIA","Public","0,267","23m",-
"16.78.47.161","8101","","","CONNECT","Elite","INDONESIA","Public Facebook supremenewyork","0,269","37m",-
"16.78.104.244","9060","","","CONNECT","Elite","INDONESIA","Public supremenewyork","0,262","40m",X
"16.78.105.11","8865","","","CONNECT","Elite","INDONESIA","Public","0,259","38m",-
